user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-03-01,0.0,0.0,deactive,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-04-01,0.0,0.0,deactive,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-05-01,49.05,0.0,new,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-06-01,91.05,49.05,active,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-07-01,109.25999999999999,91.05,active,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-08-01,0.0,109.25999999999999,churn,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-09-01,0.0,0.0,deactive,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-10-01,71.91,0.0,back,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-11-01,39.239999999999995,71.91,active,24,False,uk
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-12-01,0.0,39.239999999999995,churn,24,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-03-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-04-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-05-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-06-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-07-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-08-01,0.0,0.0,deactive,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-09-01,13.2,0.0,new,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-10-01,66.84,13.2,active,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-11-01,0.0,66.84,churn,18,False,uk
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-12-01,0.0,0.0,deactive,18,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-03-01,0.0,0.0,deactive,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-04-01,0.0,0.0,deactive,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-05-01,0.0,0.0,deactive,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-06-01,0.0,0.0,deactive,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-07-01,14.04,0.0,new,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-08-01,41.16,14.04,active,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-09-01,57.06,41.16,active,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-10-01,19.74,57.06,active,23,False,uk
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-11-01,42.6,19.74,active,23,False,uk
